Persona,graduated
Arnold_Cassola,no
Giovanni_Farina,no
Giuseppe_Angeli,no
Salvatore_Ferrigno,no
Marco_Fedi,no
Dante_D'elpidio,no
Lionello_Cosentino,no
Salvatore_Cannavo',no
Adriano_Musi,no
Costantino_Boffa,no
Francesco_Laratta,no
Pasqualino_Giuditta,no
Cesare_Damiano,no
Massimo_Fiorio,no
Vladimiro_Crisafulli,no
Nicola_Leanza,no
Angelo_Zucchi,no
Gianfranco_Burchiellaro,no
Giuseppe_Maria_Reina,no
Pietro_Franzoso,no
Michele_Bordo,no
Gerolamo_Grassi,no
Ludovico_Vico,no
Salvatore_Tomaselli,no
Paolo_Affronti,no
Giuseppe_De_Cristofaro,no
Silvio_Emilio_Sircana,no
Pietro_Marcenaro,no
Gianfranco_Nappi,no
Giorgio_Oppi,no
Massimo_Saverio_Ennio_Fundaro',no
Francesco_Piro,no
Paolo_Ferrero,no
Nicola_Adamo,no
Daniele_Capezzone,no
Raffaele_Aurisicchio,no
Francesco_Forgione,no
Maurizio_Turco,no
Sergio_D'elia,no
Camillo_Piazza,no
Maurizio_Acerbo,no
Rapisardo_Antinucci,no
Angelo_Bonelli,no
Luciano_Rossi,no
Antonello_Iannarilli,no
Armando_Dionisi,no
Sergio_Olivieri,no
Vittorio_Adolfo,no
Eugenio_Minasso,no
Giorgio_Holzmann,no
Sergio_Pizzolante,no
Giovanni_Pagliarini,no
Mario_Ricci,no
Sandro_Gozi,no
Angelo_Compagnon,no
Francesco_Proietti_Cosimi,no
Stefano_Allasia,no
Enrico_Montani,no
Giovanni_Fava,no
Marco_Pottino,no
Gianluca_Pini,no
Vincenzo_Oliva,no
Giuseppe_Fini,no
Gennaro_Migliore,no
Vincenzo_Barba,no
Maurizio_Noci,no
Giulio_Marini,no
Lido_Scarpetti,no
Giorgio_Clelio_Stracquadanio,no
Marcello_De_Angelis,no
Antonio_De_Poli,no
Mauro_Libe',no
Nedo_Lorenzo_Poli,no
Salvatore_Ruggeri,no
Diego_Novelli,no
Bruno_Mellano,no
Roberto_Poletti,no
Ezio_Locatelli,no
Francesco_Pionati,no
Giorgio_D'ambrosio,no
Matteo_Salvini,no
Vinicio_Giuseppe_Guido_Peluffo,no
Savino_Pezzotta,no
Gian_Carlo_Abelli,no
Luciano_Pizzetti,no
Marco_Carra,no
Marco_Rondini,no
Jonny_Crosio,no
Pierguido_Vanalli,no
Sandro_Mario_Biasotti,no
Raffaele_Volpi,no
Mario_Tullo,no
Walter_Verini,no
Antonio_Michele_Boccuzzi,no
Stefano_Esposito,no
Giacomo_Portas,no
Vincenzo_Piso,no
Pierluigi_Polverari,no
Aldo_Rebecchi,no
Vincenzo_Recchia,no
Giovanni_Rivera,no
Filippo_Piccone,no
Achille_Totaro,no
Massimo_Nicolucci,no
Amedeo_Laboccetta,no
Pasquale_Vessa,no
Alessandro_Montagnoli,no
Gian_Pietro_Dal_Moro,no
Gianluca_Buonanno,no
Roberto_Simonetti,no
Francesco_Biava,no
Siro_Marrocu,no
Fabio_Rainieri,no
Salvatore_Vassallo,no
Massimo_Marchignoli,no
Pier_Paolo_Baretta,no
Luca_Sani,no
Corrado_Callegari,no
Massimo_Parisi,no
Riccardo_Mazzoni,no
Luciano_Agostini,no
Pierdomenico_Martino,no
Angelo_Cera,no
Amato_Libero_Berardi,no
Giovanni_Dima,no
Antonino_Salvatore_Germana',no
Giuseppe_Berretta,no
Tommaso_Ginoble,no
Antonio_Angelucci,no
Luca_Giorgio_Barbareschi,no
Antonino_Russo,no
Alessio_Bonciani,no
Maurizio_Del_Tenno,no
Rocco_Girlanda,no
Isidoro_Gottardo,no
Gaetano_Nastri,no
Gianfranco_Paglia,no
Gianfranco_Sammarco,no
Michele_Traversa,no
Renato_Walter_Togni,no
Nunziante_Consiglio,no
Giovanni_Paladini,no
