Governo,Ministro,nome,cognome,gender,legislatura
I Governo D'Alema,"Ministro del Tesoro, bilancio e alla programmazione economica",CARLO AZEGLIO,CIAMPI,male,legislatura 13
I Governo Prodi,Ministro dei Lavori Pubblici,PAOLO,COSTA,male,legislatura 13
I Governo D'Alema,Ministro delle Politiche agricole,PAOLO,DE CASTRO,male,legislatura 13
II Governo D'Alema,Ministro delle Politiche agricole e forestali,PAOLO,DE CASTRO,male,legislatura 13
I Governo Prodi,Ministro di Grazia e giustizia,GIOVANNI MARIA,FLICK,male,legislatura 13
II Governo D'Alema,"Ministro dell'Industria, commercio e artigianato",ENRICO,LETTA,male,legislatura 13
II Governo Amato,"Ministro dell'Industria, commercio, artigianato e commercio con l'estero",ENRICO,LETTA,male,legislatura 13
I Governo D'Alema,MInistro senza portafoglio per le Politiche comunitarie,ENRICO,LETTA,male,legislatura 13
II Governo Amato,Ministro della Pubblica istruzione,TULLIO,DE MAURO,male,legislatura 13
II Governo Amato,Ministro della Sanità,UMBERTO,VERONESI,male,legislatura 13
II Governo Amato,Ministro dell'Ambiente,GIANNI FRANCESCO,MATTIOLI,male,legislatura 13
II Governo Amato,Ministro senza portafoglio per le Politiche comunitarie,GIANNI FRANCESCO,MATTIOLI,male,legislatura 13
II Governo Berlusconi,Ministro degli Affari esteri,RENATO,RUGGIERO,male,legislatura 14
II Governo Berlusconi,Ministro delle Infrastrutture e dei trasporti,PIETRO,LUNARDI,male,legislatura 14
II Governo Berlusconi,"Ministro dell'Istruzione, dell'università e della ricerca",LETIZIA,MORATTI,female,legislatura 14
II Governo Berlusconi,Ministro della Sanità,GIROLAMO,SIRCHIA,male,legislatura 14
II Governo Berlusconi,Ministro della Salute,GIROLAMO,SIRCHIA,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per l'Innovazione e le tecnologie,LUCIO,STANCA,male,legislatura 14
II Governo Berlusconi,Vice Ministro dell'Economia e delle finanze,MARIO,BALDASSARRI,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per la Funzione pubblica,LUIGI,MAZZELLA,male,legislatura 14
I Governo Pella,Ministro del Tesoro,SILVIO,GAVA,male,legislatura 02
I Governo Pella,Ministro dell'Agricoltura e Foreste,ROCCO,SALOMONE,male,legislatura 02
I Governo Pella,Ministro di Grazia e Giustizia,ANTONIO,AZARA,male,legislatura 02
I Governo Pella,Ministro delle Poste e Telecomunicazioni,MODESTO,PANETTI,male,legislatura 02
II Governo Berlusconi,Ministro dell'economia e delle finanze,DOMENICO,SINISCALCO,male,legislatura 14
I Governo D'Alema,Ministro senza portafoglio per la Funzione pubblica,ANGELO,PIAZZA,male,legislatura 13
II Governo Amato,Ministro del Lavoro e della Previdenza sociale,LIVIA,TURCO,female,legislatura 13
I Governo Prodi,Ministro senza portafoglio per la Solidarietà sociale,LIVIA,TURCO,female,legislatura 13
I Governo D'Alema,Ministro senza portafoglio per la Solidarietà sociale,LIVIA,TURCO,female,legislatura 13
II Governo D'Alema,Ministro senza Portafoglio per la Solidarietà sociale,LIVIA,TURCO,female,legislatura 13
II Governo Amato,Ministro senza portafoglio per la Solidarietà sociale,LIVIA,TURCO,female,legislatura 13
I Governo Prodi,Ministro dei Beni culturali e ambientali,WALTER,VELTRONI,male,legislatura 13
II Governo D'Alema,Ministro dell'Interno,VINCENZO,BIANCO,male,legislatura 13
II Governo Amato,Ministro dell'Interno,VINCENZO,BIANCO,male,legislatura 13
II Governo Berlusconi,Ministro senza portafoglio per le Riforme istituzionali e la devoluzione,UMBERTO,BOSSI,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per le Riforme istituzionali e la devoluzione,ROBERTO,CALDEROLI,male,legislatura 14
II Governo Berlusconi,"Vice Ministro all'Istruzione, all'università e alla ricerca",STEFANO,CALDORO,male,legislatura 14
II Governo Berlusconi,Ministro della Giustizia,ROBERTO,CASTELLI,male,legislatura 14
