persona,gender,legislatura,graduated
Giuseppe_Zuech,male,legislatura08,no
Giuseppe_Zuech,male,legislatura09,no
Giuseppe_Zuech,male,legislatura10,no
Carlo_Ricca,male,legislatura02,no
Carlo_Ricca,male,legislatura03,no
Alessandro_Butte',male,legislatura02,no
Alessandro_Butte',male,legislatura03,no
Alessandro_Butte',male,legislatura04,no
Vittorino_Carra,male,legislatura03,no
Vittorino_Carra,male,legislatura04,no
Vittorino_Carra,male,legislatura05,no
Ferruccio_Biagini,male,legislatura04,no
Ferruccio_Biagini,male,legislatura05,no
Bruno_Stegagnini,male,legislatura07,no
Bruno_Stegagnini,male,legislatura08,no
Bruno_Stegagnini,male,legislatura09,no
Bruno_Stegagnini,male,legislatura10,no
Angelo_Landi,male,legislatura03,no
Angelo_Landi,male,legislatura04,no
Liberato_Bronzuto,male,legislatura04,no
Liberato_Bronzuto,male,legislatura05,no
Paolo_Alatri,male,legislatura04,no
Mauro_Seppia,male,legislatura07,no
Mauro_Seppia,male,legislatura08,no
Mauro_Seppia,male,legislatura09,no
Mauro_Seppia,male,legislatura10,no
Elio_Fregonese,male,legislatura05,no
Walter_Alini,male,legislatura04,no
Walter_Alini,male,legislatura05,no
Francesco_Loperfido,male,legislatura04,no
Francesco_Loperfido,male,legislatura05,no
Angelo_Abenante,male,legislatura04,no
Vittorio_Aicardi,male,legislatura03,no
Adelio_Albarello,male,legislatura02,no
Adelio_Albarello,male,legislatura03,no
Pio_Alessandrini,male,legislatura01,no
Pio_Alessandrini,male,legislatura02,no
Pio_Alessandrini,male,legislatura03,no
Pio_Alessandrini,male,legislatura04,no
Silvio_Antonini,male,legislatura04,no
Silvano_Armaroli,male,legislatura03,no
Silvano_Armaroli,male,legislatura04,no
Walter_Audisio,male,legislatura01,no
Walter_Audisio,male,legislatura02,no
Walter_Audisio,male,legislatura03,no
Pierino_Azimonti,male,legislatura03,no
Pierino_Azimonti,male,legislatura05,no
