Governo,Ministro,nome,cognome,legislatura_modificata
IV Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,LUIGI,BERTOLDI,legislatura 06
VII Governo De Gasperi,Ministro della Marina Mercantile,PAOLO,CAPPA,legislatura 01
VII Governo De Gasperi,Ministro per gli Affari Esteri,ALCIDE,DE GASPERI,legislatura 01
VII Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,legislatura 01
VII Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,legislatura 01
VII Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,legislatura 01
IV Governo Moro,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,legislatura 06
V Governo Moro,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,legislatura 06
IV Governo Andreotti,Ministro dell'Interno,GIULIO,ANDREOTTI,legislatura 07
V Governo Andreotti,Ministro dei Beni Culturali e Ambientali,GIULIO,ANDREOTTI,legislatura 07
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,legislatura 07
VII Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO,legislatura 01
IV Governo Moro,Ministro delle Finanze,BRUNO,VISENTINI,legislatura 06
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,BRUNO,VISENTINI,legislatura 07
VII Governo De Gasperi,Ministro dei Lavori Pubblici,SALVATORE,ALDISIO,legislatura 01
VII Governo De Gasperi,Ministro dell'Industria e Commercio,PIETRO,CAMPILLI,legislatura 01
VII Governo De Gasperi,Ministro della Pubblica Istruzione,ANTONIO,SEGNI,legislatura 01
VII Governo De Gasperi,Ministro senza Portafoglio,CARLO,SFORZA,legislatura 01
VII Governo De Gasperi,Ministro del Tesoro,EZIO,VANONI,legislatura 01
VII Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,legislatura 01
VII Governo De Gasperi,Ministro di Grazia e Giustizia,ADONE,ZOLI,legislatura 01
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,UGO,LA MALFA,legislatura 07
VII Governo De Gasperi,Ministro del Commercio con l'Estero,UGO,LA MALFA,legislatura 01
IV Governo Moro,Ministro di Grazia e Giustizia,ORONZO,REALE,legislatura 06
I Governo Cossiga,Ministro senza Portafoglio,VITO,SCALIA,legislatura 08
IV Governo Moro,Ministro dei Lavori Pubblici,PIETRO,BUCALOSSI,legislatura 06
VII Governo De Gasperi,Ministro dei Trasporti,PIERO,MALVESTITI,legislatura 01
I Governo Cossiga,Ministro senza Portafoglio,CLELIO,DARIDA,legislatura 08
IV Governo Moro,Ministro dei Trasporti,MARIO,MARTINELLI,legislatura 06
V Governo Moro,Ministro dei Trasporti,MARIO,MARTINELLI,legislatura 06
I Governo Cossiga,Ministro della Sanità,RENATO,ALTISSIMO,legislatura 08
IV Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 06
V Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 06
V Governo Andreotti,Ministro del Turismo e Spettacolo,EGIDIO,ARIOSTO,legislatura 07
I Governo Cossiga,Ministro dei Beni Culturali e Ambientali,EGIDIO,ARIOSTO,legislatura 08
V Governo Andreotti,Ministro dei Lavori Pubblici,FRANCESCO,COMPAGNA,legislatura 07
V Governo Moro,Ministro della Sanità,LUCIANO,DAL FALCO,legislatura 06
III Governo Andreotti,Ministro della Sanità,LUCIANO,DAL FALCO,legislatura 07
VII Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,legislatura 01
VII Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,legislatura 01
IV Governo Moro,Ministro del Turismo e Spettacolo,ADOLFO,SARTI,legislatura 06
V Governo Moro,Ministro del Turismo e Spettacolo,ADOLFO,SARTI,legislatura 06
I Governo Cossiga,Ministro della Difesa,ADOLFO,SARTI,legislatura 08
I Governo Cossiga,Ministro senza Portafoglio,ADOLFO,SARTI,legislatura 08
III Governo Andreotti,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,legislatura 07
IV Governo Andreotti,Ministro dei Trasporti,VITTORINO,COLOMBO,legislatura 07
IV Governo Andreotti,Ministro della Marina Mercantile,VITTORINO,COLOMBO,legislatura 07
V Governo Andreotti,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,legislatura 07
I Governo Cossiga,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,legislatura 08
V Governo Moro,Ministro dell'Interno,FRANCESCO,COSSIGA,legislatura 06
III Governo Andreotti,Ministro dell'Interno,FRANCESCO,COSSIGA,legislatura 07
IV Governo Andreotti,Ministro dell'Interno,FRANCESCO,COSSIGA,legislatura 07
IV Governo Moro,MInistro senza Portafoglio,FRANCESCO,COSSIGA,legislatura 06
V Governo Moro,Ministro senza Portafoglio,FRANCESCO,COSSIGA,legislatura 06
VII Governo De Gasperi,Ministro dell'Agricoltura e Foreste,AMINTORE,FANFANI,legislatura 01
I Governo Cossiga,Ministro delle Finanze,FRANCO,REVIGLIO,legislatura 08
IV Governo Moro,MInistro dei Beni Culturali e Ambientali,GIOVANNI,SPADOLINI,legislatura 06
V Governo Andreotti,Ministro della Pubblica Istruzione,GIOVANNI,SPADOLINI,legislatura 07
IV Governo Moro,Ministro senza Portafoglio,GIOVANNI,SPADOLINI,legislatura 06
IV Governo Moro,MInistro del Lavoro e della Previdenza Sociale,MARIO,TOROS,legislatura 06
V Governo Moro,Ministro del Lavoro e della Previdenza Sociale,MARIO,TOROS,legislatura 06
I Governo Cossiga,Ministro della Pubblica Istruzione,SALVATORE,VALITUTTI,legislatura 08
I Governo Cossiga,Ministro del Turismo e Spettacolo,BERNARDO,D'AREZZO,legislatura 08
IV Governo Moro,Ministro del Commercio con l'Estero,LUIGI CIRIACO,DE MITA,legislatura 06
V Governo Moro,Ministro del Commercio con l'Estero,LUIGI CIRIACO,DE MITA,legislatura 06
III Governo Andreotti,Ministro senza Portafoglio,LUIGI CIRIACO,DE MITA,legislatura 07
IV Governo Andreotti,Ministro senza Portafoglio,LUIGI CIRIACO,DE MITA,legislatura 07
I Governo Cossiga,Ministro del Bilancio e della Programmazione Economica,BENIAMINO,ANDREATTA,legislatura 08
V Governo Andreotti,Ministro senza Portafoglio,MICHELE,DI GIESI,legislatura 07
I Governo Cossiga,MInistro senza Portafoglio,MICHELE,DI GIESI,legislatura 08
IV Governo Moro,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,legislatura 06
V Governo Moro,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,legislatura 06
III Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,legislatura 07
